id,feature1,feature2,feature3,label
1,30.0865,0.268223,178,0
2,85.9792,0.308152,481,1
3,90.7754,0.369355,89,1
4,91.7354,0.960119,177,0
5,64.1513,0.086339,154,1
6,72.1923,0.3136,409,0
7,71.2516,0.858649,15,0
8,35.6665,0.207305,238,0
9,45.0436,0.477009,89,1
10,18.2436,0.847728,415,1
11,80.5517,0.70748,77,1
12,11.3425,0.974522,43,1
13,52.4906,0.979284,447,0
14,70.0998,0.476924,178,0
15,10.192,0.070409,106,0
16,60.7766,0.257988,494,1
17,83.8691,0.156468,378,1
18,17.8318,0.186817,226,1
19,46.6024,0.426328,273,1
20,34.8882,0.496425,244,1
21,71.5548,0.902348,462,1
22,54.8822,0.923039,107,0
23,35.0679,0.607383,306,0
24,82.5671,0.706472,132,0
25,89.7486,0.384832,28,0
26,71.3038,0.281529,91,0
27,78.0747,0.64354,103,0
28,43.7223,0.841662,265,0
29,56.4266,0.472174,115,0
30,14.354,0.825969,32,1
31,87.1365,0.148362,217,1
32,10.175,0.261016,485,1
33,74.0634,0.69264,369,0
34,28.6523,0.405721,280,0
35,90.3176,0.922189,339,1
36,31.4892,0.030181,165,1
37,79.7454,0.107096,378,0
38,50.5245,0.185823,312,0
39,71.3455,0.264378,402,0
40,91.9084,0.726763,127,1
41,62.3982,0.00417,224,1
42,32.88,0.448857,360,1
43,14.1577,0.513063,321,0
44,17.983,0.384795,289,0
45,60.514,0.983603,9,0
46,68.1941,0.283508,167,0
47,41.5636,0.67618,344,0
48,96.0948,0.461018,314,1
49,19.0903,0.861625,404,1
50,26.0334,0.348858,233,1
51,72.8504,0.89333,150,0
52,56.1946,0.121903,441,0
53,92.8304,0.681609,20,0
54,61.3701,0.188399,457,1
55,33.9853,0.773812,457,1
56,56.3749,0.998621,410,1
57,58.0105,0.627415,457,0
58,50.4525,0.964509,478,0
59,98.7222,0.476419,163,0
60,3.9071,0.767135,78,1
61,87.098,0.329488,475,0
62,69.654,0.394636,464,1
63,4.5507,0.522234,225,0
64,47.558,0.891772,372,1
65,43.4898,0.405575,128,1
66,61.9872,0.577485,432,1
67,25.3335,0.924181,311,0
68,13.942,0.829171,266,0
69,74.241,0.712785,148,0
70,84.3623,0.29975,384,1
71,45.7094,0.085262,436,1
72,45.7189,0.028774,152,0
73,34.0877,0.428961,224,0
74,51.1971,0.506618,33,1
75,2.5609,0.142284,119,1
76,75.5719,0.009711,492,1
77,72.9827,0.544616,44,0
78,92.9376,0.91714,479,0
79,17.6128,0.273013,291,0
80,65.9838,0.938119,25,1
81,63.1327,0.677693,233,0
82,98.4869,0.927397,247,0
83,92.8016,0.155605,101,0
84,17.0641,0.304521,215,1
85,34.607,0.467649,434,1
