sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,failure
223.7643,-27.6789,31.5062,9.6172,27.5397,226.8377,36.5265,12.0705,10.3922,50.5355,,35.493,14.1237,7.9667,27.6403,153.7437,-49.3501,35.4717,26.4966,15.5479,174.079,45.7213,9.3148,11.1325,9.6716,0
156.7285,22.9732,16.7946,2.1402,40.8966,146.5692,22.7515,5.6121,5.9556,57.7352,60.3442,32.4508,9.7003,11.1862,30.5976,213.763,-22.2026,40.4728,38.6636,20.9507,192.4965,14.8035,17.0073,8.5773,72.9127,0
188.361,-12.0545,47.1161,9.7179,38.4751,147.0875,31.4077,7.8649,12.5589,26.7741,52.6162,52.9749,7.8465,8.2689,46.0907,147.2612,-4.1148,70.287,30.3264,26.2742,238.5059,8.4586,12.4262,8.186,21.9321,0
186.9254,-45.2884,29.6866,13.2542,63.4003,190.4049,32.0426,2.6432,16.769,52.9114,51.4616,28.6006,9.1696,5.5372,20.7995,194.5588,14.0962,34.8714,35.2586,95.3816,216.6756,0.0586,8.3502,12.871,87.0519,0
259.694,13.8949,24.6462,8.9072,24.7442,187.2407,29.6015,9.9808,9.7327,92.9099,52.6579,35.0501,7.7594,15.7507,38.7623,211.997,-1.401,47.923,31.3611,12.8391,148.9948,-2.4718,7.7599,9.2752,87.2433,0
208.8792,22.9931,44.5116,10.7834,62.3594,181.0466,19.582,8.4856,9.8321,22.4697,40.7794,25.428,10.2142,11.1312,24.1203,184.128,40.542,59.9816,33.8103,66.8978,203.5614,43.5514,11.5581,6.9386,78.4619,0
185.3484,-30.959,40.453,11.8227,26.2767,209.9736,13.9977,2.3439,12.4813,33.9303,58.8269,30.0658,11.9487,7.0216,33.986,195.9423,42.3266,61.1904,39.7695,5.0588,170.9811,49.9282,14.069,3.22,92.6367,0
217.3636,-28.6253,41.968,9.1523,53.0374,223.4516,29.1316,10.7022,6.77,42.3007,69.1006,29.5604,9.6569,8.2943,20.8624,275.5919,7.918,49.9345,25.8829,58.4178,141.2918,-34.2567,9.8948,11.189,18.5825,0
197.0092,17.5213,30.563,11.5096,50.4792,240.2977,20.8475,7.868,6.8437,93.4706,40.8436,28.1316,7.8342,6.4485,40.9073,191.918,25.1864,62.4377,-11.7001,99.6096,227.9673,-42.6739,10.5404,12.2923,93.3259,0
220.9147,-34.2253,22.0714,12.3495,29.7733,243.5658,28.5991,15.5232,10.2717,29.9379,57.4698,27.5874,11.0682,10.9469,20.9612,192.1483,10.483,56.1152,46.3012,26.3984,135.0279,34.6104,10.469,12.6342,27.668,0
217.2556,27.1119,69.9237,8.2257,34.981,189.8882,78.9481,10.0721,14.8195,54.559,28.24,70.0822,9.1584,11.793,81.1633,243.0816,36.0703,34.1381,76.8808,10.2794,222.0196,28.0116,12.2872,7.9614,62.0662,1
254.2646,47.6206,19.7662,12.3084,,142.5113,29.0908,7.3138,14.8988,86.4064,38.627,27.7744,15.2496,14.7346,45.2892,213.4192,31.6587,41.742,22.7353,22.7595,250.2567,-47.6336,10.9361,12.5071,86.4353,0
192.1805,-10.0322,46.9009,13.6928,47.8028,259.5949,51.1071,13.3362,16.9273,26.5466,27.7952,37.745,8.4047,13.7722,18.1942,197.878,7.6588,49.7765,29.3251,92.5575,153.5595,24.195,8.8556,8.6344,6.9974,0
174.9254,-16.98,20.8949,15.3601,45.9876,224.5286,19.7853,11.657,9.5571,42.0446,57.5075,18.5745,4.1862,8.1012,23.2601,199.1836,-21.3086,49.8732,14.6639,46.4988,178.927,-5.784,10.7679,13.3086,90.1181,0
206.1056,1.5452,34.4221,8.1811,39.9498,200.3207,12.0632,10.3172,11.9739,2.4425,21.1509,33.6351,12.7844,11.3712,24.5897,185.6391,19.6354,50.8281,47.5197,0.5545,200.3117,-39.3413,4.8564,8.3366,95.7966,0
208.4563,-44.9782,30.1174,15.8266,57.0676,157.7789,46.0975,9.6933,16.0129,61.2652,40.2397,7.3985,9.8303,3.888,22.4162,198.6434,-24.0808,32.9935,16.7366,52.13,161.0967,12.6748,9.8145,11.1905,28.5728,0
184.14,-36.1626,43.5458,10.5423,72.9227,228.2329,34.8222,7.0004,9.1772,20.6834,66.4217,21.0523,8.015,4.4291,31.1486,170.7883,-49.4104,50.6418,6.4882,95.343,156.5303,4.6132,12.4247,8.3125,21.9422,0
187.2048,-47.0975,20.6792,13.8771,58.5667,228.9895,41.6431,13.0085,12.9597,56.4392,,32.0253,8.989,8.734,26.2564,202.2968,-12.0896,38.2129,47.988,37.9126,200.7155,-24.7728,4.3348,10.5167,53.9419,0
202.9216,-15.004,17.7183,5.7659,50.9752,126.6884,30.7618,10.5782,10.897,66.9459,56.3718,33.7201,14.5579,10.1927,22.7679,161.0819,-38.5467,34.461,35.5995,2.5678,196.8451,-18.8043,6.6681,3.2152,39.6654,0
240.8132,12.7242,38.4473,14.1398,65.42,187.6937,26.4041,15.2143,9.4689,34.7204,37.7595,40.3532,6.8331,14.9059,32.488,187.2692,46.0788,61.16,13.4429,43.5487,192.0884,-22.9918,2.2564,11.3335,48.3498,0
165.1746,23.1026,27.2962,15.8222,76.5067,232.1043,30.5171,13.3515,7.7476,2.87,40.6435,33.4412,11.8845,10.8101,19.5446,234.0552,-22.3731,,17.2595,94.8063,241.1121,-1.1422,12.4528,10.2356,64.5903,0
154.1075,29.2933,37.083,11.172,43.152,237.1564,15.4427,10.6173,5.568,33.0791,61.2029,28.8033,12.2633,11.4249,35.3966,227.1671,26.219,62.6845,32.8948,72.4585,233.7533,47.6607,7.5822,9.6227,10.0526,0
202.6604,-48.5852,37.4716,7.6527,47.4434,156.196,23.8952,14.2382,14.3069,49.0879,34.9084,23.9375,8.2172,10.6998,57.0805,222.6468,-2.2271,45.2234,32.7505,62.9446,216.0956,6.284,10.5636,6.8198,11.8452,0
290.4047,10.6318,32.1731,7.9242,34.5571,209.9251,53.2511,2.9885,8.575,60.9631,69.6434,37.7503,9.3378,11.069,47.1107,210.2212,-42.4935,,36.1866,45.0504,179.3073,-26.8524,8.6162,8.7511,45.4031,0
154.9535,42.3911,33.9575,5.916,64.4328,187.221,13.3427,8.8026,14.7117,7.141,34.7175,22.9346,14.6646,7.7546,25.8281,232.5387,19.9734,66.1377,15.9974,8.0442,199.8961,-46.0139,7.5913,11.0962,25.0368,0
255.4159,7.5199,70.4929,21.2562,32.0201,198.9487,77.8443,10.1332,6.6196,65.1509,58.3053,87.0581,7.6884,7.3851,82.7696,215.0488,-16.6692,58.4058,68.0262,69.3674,182.8053,31.3566,17.0224,6.8579,31.4517,1
189.7695,47.0185,18.1093,12.0428,39.7155,168.6178,23.386,11.0026,6.7428,62.5409,69.2443,34.3578,13.627,12.8943,24.344,195.1235,47.3147,42.7674,30.4735,55.0839,217.5773,5.2251,17.7952,15.1704,91.293,0
241.9287,-0.1624,45.2543,9.2548,32.5046,242.6575,1.0335,10.1496,13.7949,38.3586,19.1933,28.7227,11.5842,8.1807,33.0904,169.9137,43.4248,55.246,21.1607,29.8556,105.3637,-1.036,4.2466,12.2197,34.5124,0
