id,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9
sensor_001,67.5,12.2,34.7,30.1,76.2,70.8,90.2,17.8,47.9
sensor_002,12.7,29.7,55.4,12.4,27.9,68.4,59.0,29.8,63.0
sensor_003,82.8,10.6,82.4,72.8,40.6,24.0,96.1,40.3,18.3
sensor_004,18.7,86.2,64.3,82.6,75.6,58.2,97.5,44.0,59.6
sensor_005,84.6,65.6,87.5,61.9,73.3,14.1,30.5,36.0,17.2
sensor_006,30.9,19.1,35.0,67.1,42.8,43.3,28.8,34.0,94.2
sensor_007,68.3,64.8,25.4,75.5,24.7,44.1,99.0,67.5,60.1
sensor_008,71.5,85.8,79.8,30.6,12.9,38.4,34.1,29.0,94.8
sensor_009,88.8,38.3,68.9,45.6,92.2,51.3,33.8,32.2,60.5
sensor_010,33.6,62.6,90.7,45.9,29.7,99.7,55.8,18.2,14.2
sensor_011,19.9,66.4,81.2,48.0,15.7,44.3,99.6,57.6,97.3
sensor_012,87.4,11.0,74.8,71.3,58.3,34.0,67.6,20.0,49.1
sensor_013,50.8,95.7,88.7,33.7,55.0,26.1,92.0,88.3,36.8
sensor_014,67.4,64.7,23.7,78.5,58.5,80.0,57.7,10.1,39.1
sensor_015,11.8,93.5,89.0,84.8,37.6,15.2,88.9,95.1,17.7
sensor_016,53.7,16.2,78.4,78.8,21.5,52.7,59.4,33.8,88.4
sensor_017,48.0,29.0,58.5,75.6,28.1,38.0,99.5,68.4,49.4
sensor_018,56.5,20.9,30.2,40.4,62.9,30.7,29.8,16.4,66.7
sensor_019,30.6,91.4,87.3,16.4,31.4,70.1,29.3,21.9,94.1
sensor_020,61.3,52.5,80.5,82.6,27.1,18.7,48.8,48.1,52.0
sensor_021,75.5,70.5,98.5,18.8,46.2,40.5,87.5,32.4,27.1
sensor_022,50.3,47.9,35.0,32.5,93.0,49.8,87.4,59.5,14.5
sensor_023,99.8,85.2,97.1,93.3,86.3,25.0,53.7,29.2,46.1
sensor_024,15.3,44.1,98.6,33.8,80.5,50.9,48.0,96.1,99.5
sensor_025,60.0,74.6,23.9,36.7,97.1,62.1,58.7,77.2,15.1
sensor_026,62.5,55.2,86.7,24.2,96.4,17.2,26.7,63.5,70.7
sensor_027,31.1,20.8,90.0,32.1,63.4,65.7,47.7,62.5,57.0
sensor_028,94.0,28.4,74.4,31.5,45.6,70.4,37.0,38.4,77.6
sensor_029,16.5,51.2,99.8,99.5,16.6,29.2,33.8,93.9,89.2
sensor_030,89.0,43.2,24.2,85.0,73.2,65.0,98.8,68.8,10.7
sensor_031,83.5,36.9,69.6,94.4,22.1,20.4,19.6,59.7,34.5
sensor_032,64.4,74.5,28.3,67.0,33.7,53.9,91.4,86.1,18.3
sensor_033,48.1,34.9,10.3,79.3,67.3,33.5,76.6,59.6,48.4
sensor_034,10.9,16.8,89.4,91.3,59.0,85.0,62.4,23.3,21.5
sensor_035,37.7,90.8,81.6,87.4,90.8,28.9,32.4,19.2,80.1
sensor_036,89.5,46.5,65.8,23.9,93.6,87.7,97.8,82.9,89.2
sensor_037,12.2,76.2,39.9,93.7,82.1,87.7,82.9,34.0,80.8
sensor_038,19.7,88.4,87.2,30.0,83.4,51.4,37.4,81.5,30.5
sensor_039,12.1,27.4,39.5,87.7,96.9,35.1,67.7,45.9,98.2
sensor_040,58.2,94.4,20.4,97.2,26.1,96.5,33.9,19.7,49.1
sensor_041,75.5,38.2,64.5,56.0,44.6,61.8,32.9,73.7,10.2
sensor_042,93.2,58.4,74.7,76.7,70.3,42.7,16.3,69.7,39.7
sensor_043,38.2,86.2,74.7,37.0,37.8,46.7,46.2,36.6,21.4
